inst1, inst2, num_profiles, n, n_rem_TS, n_rem_out, rsq, line_a, line_a_sd, line_a_95CI, line_b, line_b_sd, line_b_95CI, offset_b, offset_b_sd, offset_b_95CI
FLBBSR, FLBBRR, 11, 287, 0, 6, 0.960, 0.9509, 0.0280, 0.0551, -9.742e-05, 2.322e-05, 4.570e-05, -1.217e-04, 2.296e-05, 4.520e-05
BBFL2WW, FLBBRR, 42, 1113, 0, 0, 0.935, 1.0027, 0.0298, 0.0584, -2.563e-05, 2.895e-05, 5.680e-05, -2.448e-05, 2.878e-05, 5.647e-05
BB2FLSG, FLBBRR, 19, 420, 16, 0, 0.944, 1.0151, 0.0306, 0.0601, -4.909e-05, 2.867e-05, 5.636e-05, -4.262e-05, 2.812e-05, 5.528e-05
BB9RR, FLBBRR, 15, 149, 0, 3, 0.731, 0.9434, 0.0472, 0.0932, 3.329e-05, 4.111e-05, 8.124e-05, -1.135e-05, 2.869e-05, 5.670e-05
BB9SR, FLBBRR, 4, 85, 0, 2, 0.948, 0.9619, 0.0336, 0.0669, 3.215e-05, 7.718e-05, 1.535e-04, 1.752e-05, 7.960e-05, 1.583e-04
HS6RR, FLBBRR, 26, 365, 0, 4, 0.840, 1.3064, 0.0429, 0.0844, 5.755e-05, 3.289e-05, 6.469e-05, 2.241e-04, 2.751e-05, 5.411e-05
FLBBLF, FLBBRR, 7, 61, 0, 0, 0.716, 2.1337, 0.1906, 0.3814, -3.784e-03, 5.831e-04, 1.167e-03, -1.400e-03, 2.069e-04, 4.139e-04
BBFL2WW, FLBBSR, 7, 192, 0, 0, 0.920, 1.1472, 0.0369, 0.0728, 4.440e-05, 2.487e-05, 4.905e-05, 1.093e-04, 2.142e-05, 4.225e-05
BB2FLSG, FLBBSR, 16, 344, 9, 5, 0.959, 1.0526, 0.0312, 0.0614, 5.648e-05, 2.117e-05, 4.163e-05, 7.971e-05, 1.986e-05, 3.907e-05
BB9RR, FLBBSR, 5, 58, 0, 0, 0.834, 1.0199, 0.0684, 0.1371, 1.385e-04, 5.848e-05, 1.172e-04, 1.557e-04, 2.399e-05, 4.804e-05
BB9SR, FLBBSR, 41, 870, 6, 0, 0.977, 1.0351, 0.0296, 0.0581, 1.338e-04, 7.960e-05, 1.562e-04, 1.476e-04, 7.687e-05, 1.509e-04
HS6RR, FLBBSR, 7, 91, 0, 2, 0.626, 1.4140, 0.0831, 0.1652, 1.508e-04, 5.008e-05, 9.952e-05, 3.875e-04, 2.316e-05, 4.600e-05
FLBBLF, FLBBSR, 6, 58, 0, 0, 0.697, 2.4407, 0.2268, 0.4543, -4.299e-03, 6.804e-04, 1.363e-03, -1.250e-03, 2.060e-04, 4.125e-04
MCOMSBGC, FLBBSR, 1, 24, 0, 1, 0.993, 1.1078, 0.0394, 0.0816, 7.488e-05, 1.317e-05, 2.731e-05, 1.134e-04, 1.058e-05, 2.188e-05
BB2FLSG, BBFL2WW, 36, 798, 47, 0, 0.893, 0.9635, 0.0294, 0.0577, -4.033e-06, 2.629e-05, 5.161e-05, -2.037e-05, 2.642e-05, 5.187e-05
BB9RR, BBFL2WW, 15, 156, 0, 4, 0.714, 1.0290, 0.0485, 0.0959, 7.152e-06, 4.208e-05, 8.312e-05, 3.204e-05, 2.710e-05, 5.353e-05
BB9SR, BBFL2WW, 3, 70, 0, 0, 0.976, 0.8749, 0.0285, 0.0569, 9.930e-05, 7.002e-05, 1.397e-04, 4.163e-05, 7.914e-05, 1.579e-04
HS6RR, BBFL2WW, 27, 362, 0, 5, 0.811, 1.3218, 0.0450, 0.0885, 6.784e-05, 3.220e-05, 6.333e-05, 2.475e-04, 2.584e-05, 5.081e-05
